id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
98,U-98,VIIC,5/30/1938,9/27/1939,10/12/1940,8/31/1940,11/15/1942,Sunk,0,36.09,-7.42,46,"F. Krupp Germaniawerft AG, Kiel",10
99,U-99,VIIB,12/15/1937,3/31/1939,4/18/1940,3/12/1940,3/17/1941,Scuttled,40,61.00,-11.48,3,"F. Krupp Germaniawerft AG, Kiel",35
100,U-100,VIIB,12/15/1937,5/22/1939,5/30/1940,4/10/1940,3/17/1941,Sunk,6,61.04,-11.30,38,"F. Krupp Germaniawerft AG, Kiel",25
101,U-101,VIIB,12/15/1937,3/31/1939,3/11/1940,1/13/1940,10/22/1943,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",22
102,U-102,VIIB,12/15/1937,5/22/1939,4/27/1940,3/21/1940,7/1/1940,Sunk,0,48.33,-10.26,43,"F. Krupp Germaniawerft AG, Kiel",1
103,U-103,IXB,5/24/1938,9/6/1939,7/5/1940,4/12/1940,3/13/1944,Decommissioned,0,,,0,"AG Weser, Bremen",45
104,U-104,IXB,5/24/1938,11/10/1939,8/19/1940,5/25/1940,11/28/1940,Sunk,0,55.30,-8.00,49,"AG Weser, Bremen",1
105,U-105,IXB,5/24/1938,11/16/1939,9/10/1940,6/15/1940,6/2/1943,Sunk,0,14.15,-17.35,53,"AG Weser, Bremen",22
106,U-106,IXB,5/24/1938,11/26/1939,9/24/1940,6/17/1940,8/2/1943,Sunk,36,46.35,-11.55,22,"AG Weser, Bremen",22
107,U-107,IXB,5/24/1938,12/6/1939,10/8/1940,7/2/1940,8/18/1944,Sunk,0,46.46,-3.49,58,"AG Weser, Bremen",37
108,U-108,IXB,5/24/1938,12/27/1939,10/22/1940,7/15/1940,4/11/1944,Sunk,0,,,0,"AG Weser, Bremen",25
109,U-109,IXB,5/24/1938,3/9/1940,12/5/1940,9/14/1940,5/4/1943,Sunk,0,47.22,-22.40,52,"AG Weser, Bremen",12
110,U-110,IXB,5/24/1938,2/1/1940,11/21/1940,8/25/1940,5/9/1941,Captured,32,,,15,"AG Weser, Bremen",3
